supervisor,grade,section,categories
"계리직","9급","우편일반","계리"
"계리직","9급","예금일반","계리"
"계리직","9급","보험일반","계리"
"계리직","9급","컴퓨터일반","계리"
"계리직","9급","우편상식","계리"
"계리직","9급","금융상식","계리"
"기상직","7급","물리학개론","기상"
"기상직","7급","일기분석 및 예보법","기상"
"기상직","7급","기상역학","기상"
"기상직","7급","물리기상학","기상"
"기상직","9급","국어","기상"
"기상직","9급","영어","기상"
"기상직","9급","한국사","기상"
"기상직","9급","기상학개론","기상"
"기상직","9급","일기분석 및 예보법","기상"
"국회직","9급","국어","건축,경위,기계,방송기술,방송제작,방송편성,방호,사서,속기,안내,전기,전산,조경,촬영,토목,통신기술"
"국회직","9급","영어","건축,경위,기계,방송기술,방송제작,방송편성,방호,사서,속기,안내,전기,전산,조경,촬영,토목,통신기술"
"국회직","9급","한국사","건축,경위,기계,방송기술,방송제작,방송편성,방호,사서,속기,안내,전기,전산,조경,촬영,토목,통신기술"
"국회직","9급","헌법","경위,방호,사서,속기,안내"
"국회직","9급","행정학개론","속기"
"국회직","9급","행정법총론","경위"
"국회직","9급","경호학개론","경위"
"국회직","9급","사회","방호,안내"
"국회직","9급","건축계획","건축"
"국회직","9급","건축구조","건축"
"국회직","9급","전자공학개론","방송기술,통신기술"
"국회직","9급","통신이론","통신기술"
"국회직","9급","정보학개론","사서"
"국회직","9급","기계일반","기계"
"국회직","9급","기계설계","기계"
"국회직","9급","전기이론","전기"
"국회직","9급","전기기기","전기"
"국회직","9급","컴퓨터일반","전산"
"국회직","9급","정보보호론","전산"
"국회직","9급","방송통신공학","방송기술"
"국회직","9급","응용역학개론","토목"
"국회직","9급","토목설계","토목"
"국회직","9급","조경학","조경"
"국회직","9급","조경계획 및 설계","조경"
"국회직","9급","방송학","방송제작,방송편성,촬영"
"국회직","9급","방송편성론","방송편성"
"국회직","9급","영상제작론","방송제작"
"국회직","9급","취재보도론","취재보도"
"국회직","9급","미디어론","촬영"
"국회직","8급","국어","일반행정"
"국회직","8급","헌법","일반행정"
"국회직","8급","경제학","일반행정"
"국회직","8급","영어","일반행정"
"국회직","8급","행정법","일반행정"
"국회직","8급","행정학","일반행정"
"법원직","9급","국어","법원등기,법원사무,사서,전산"
"법원직","9급","영어","법원등기,법원사무,사서,전산"
"법원직","9급","한국사","법원등기,법원사무,사서,전산"
"법원직","9급","헌법","법원등기,법원사무"
"법원직","9급","민법","법원등기,법원사무"
"법원직","9급","민사소송법","법원등기,법원사무"
"법원직","9급","형법","법원사무"
"법원직","9급","형사소송법","법원사무"
"법원직","9급","상법","법원등기"
"법원직","9급","부동산등기법","법원등기"
"법원직","9급","컴퓨터일반","전산"
"법원직","9급","정보보호론","전산"
"법원직","9급","자료조직개론","사서"
"법원직","9급","정보학개론","사서"
"국가직","9급","국어","건축,검찰,고용노동,관세,교육행정,교정,데이터,마약수사,방재안전,보호,산림자원,선거행정,세무,시설조경,일반기계,일반농업,일반토목,일반행정,전기,전산개발,전송기술,정보보호,직업상담,철도경찰,출입국관리,통계,화공"
"국가직","9급","영어","건축,검찰,고용노동,관세,교육행정,교정,데이터,마약수사,방재안전,보호,산림자원,선거행정,세무,시설조경,일반기계,일반농업,일반토목,일반행정,전기,전산개발,전송기술,정보보호,직업상담,철도경찰,출입국관리,통계,화공"
"국가직","9급","한국사","건축,검찰,고용노동,관세,교육행정,교정,데이터,마약수사,방재안전,보호,산림자원,선거행정,세무,시설조경,일반기계,일반농업,일반토목,일반행정,전기,전산개발,전송기술,정보보호,직업상담,철도경찰,출입국관리,통계,화공"
"국가직","9급","행정학개론","일반행정"
"국가직","9급","행정법총론","고용노동,교육행정,선거행정,일반행정,출입국관리"
"국가직","9급","노동법개론","고용노동,직업상담"
"국가직","9급","교육학개론","교육행정"
"국가직","9급","공직선거법","선거행정"
"국가직","9급","직업상담・심리학개론","직업상담"
"국가직","9급","세법개론","세무"
"국가직","9급","회계학","세무"
"국가직","9급","관세법개론","관세"
"국가직","9급","회계원리","관세"
"국가직","9급","통계학개론","통계"
"국가직","9급","경제학개론","통계"
"국가직","9급","교정학개론","교정"
"국가직","9급","형사소송법개론","교정,철도경찰"
"국가직","9급","형사정책개론","보호"
"국가직","9급","사회복지학개론","보호"
"국가직","9급","형법","검찰,마약수사"
"국가직","9급","형사소송법","검찰,마약수사"
"국가직","9급","국제법개론","출입국관리"
"국가직","9급","형법총론","철도경찰"
"국가직","9급","기계일반","일반기계"
"국가직","9급","기계설계","일반기계"
"국가직","9급","전기이론","전기"
"국가직","9급","전기기기","전기"
"국가직","9급","화학공학일반","화공"
"국가직","9급","공업화학","화공"
"국가직","9급","재배학개론","일반농업"
"국가직","9급","식용작물","일반농업"
"국가직","9급","조림","산림자원"
"국가직","9급","임업경영","산림자원"
"국가직","9급","응용역학개론","일반토목"
"국가직","9급","토목설계","일반토목"
"국가직","9급","건축계획","건축"
"국가직","9급","건축구조","건축"
"국가직","9급","조경학","시설조경"
"국가직","9급","조경계획 및 설계","시설조경"
"국가직","9급","재난관리론","방재안전"
"국가직","9급","안전관리론","방재안전"
"국가직","9급","컴퓨터일반","전산개발"
"국가직","9급","정보보호론","전산개발"
"국가직","9급","데이터베이스론","데이터"
"국가직","9급","알고리즘","데이터"
